tracking_id	FPKM	FPKM
ENSDARG00000091609	0	0
ENSDARG00000002634	0	0
ENSDARG00000062467	0	3.63674
ENSDARG00000032808	0	0
ENSDARG00000078318	0	0
ENSDARG00000018997	0	0
ENSDARG00000037634	0	0
ENSDARG00000045620	0	0
ENSDARG00000045618	4.20256	0
ENSDARG00000057248	43.3552	27.8631
ENSDARG00000017985	0	0.043667
ENSDARG00000084293	0	0
ENSDARG00000084195	0	0
ENSDARG00000089442	0	0
ENSDARG00000054274	0	0
ENSDARG00000089805	0	0
ENSDARG00000091084	0	0
ENSDARG00000083832	0	0
ENSDARG00000084372	0	0
ENSDARG00000078525	0.0126066	0
ENSDARG00000079626	0	0.0035254
ENSDARG00000088299	0	0
ENSDARG00000057114	15.8181	0
ENSDARG00000009026	0.000907544	0.00138998
ENSDARG00000085400	0	0
ENSDARG00000014273	0	0
ENSDARG00000056806	0	0
ENSDARG00000056797	0	0
ENSDARG00000062341	0	0.0030025
ENSDARG00000056742	0	0
ENSDARG00000037576	0	0
ENSDARG00000070431	0.0310058	0.00951419
ENSDARG00000022690	1.17125	0.0104803
ENSDARG00000056677	4.28313	4.76597
ENSDARG00000012903	0.00967961	0.0445332
ENSDARG00000003398	0	0
ENSDARG00000074867	0.00420777	0
ENSDARG00000039063	0	0.0823451
ENSDARG00000088394	0	0
ENSDARG00000070424	0	0
ENSDARG00000090330	0	0
ENSDARG00000090249	0	0
ENSDARG00000091356	0	0
ENSDARG00000088602	0	0
ENSDARG00000088897	0	0
ENSDARG00000078898	0	0
ENSDARG00000007534	0	0
ENSDARG00000077804	0.00215198	0.000865719
ENSDARG00000013881	0	0
ENSDARG00000079317	0	0
ENSDARG00000089762	0	0
ENSDARG00000090659	0	0
ENSDARG00000084595	0	0
ENSDARG00000078854	0	0
ENSDARG00000091571	0	0
ENSDARG00000007356	0	0
ENSDARG00000078599	0	0
ENSDARG00000080567	0	0
ENSDARG00000091657	0	0
ENSDARG00000017119	0.00650376	0
ENSDARG00000070412	0	0
ENSDARG00000034105	0	0.00187864
ENSDARG00000062198	0.369154	0.00151621
ENSDARG00000034817	0	0
ENSDARG00000056504	0.0203498	0
ENSDARG00000084051	0	0
ENSDARG00000090809	0	0
ENSDARG00000086427	0	0
ENSDARG00000091629	0	0
ENSDARG00000088747	0	0
ENSDARG00000090636	0	0
ENSDARG00000090653	0	0
ENSDARG00000088569	0	0
ENSDARG00000092109	0	0
ENSDARG00000017591	0	0.000644519
ENSDARG00000092708	0	0
ENSDARG00000017905	0	0
ENSDARG00000030514	0.00171537	0.00071697
ENSDARG00000056400	0	0
ENSDARG00000042937	0	1.99541e-68
ENSDARG00000092600	0.0168635	0.0129821
ENSDARG00000027355	0	0.00724995
ENSDARG00000056381	0	0.00554392
ENSDARG00000056376	0	0.040791
ENSDARG00000056369	0.0188154	0.244245
ENSDARG00000092022	0	0.000658555
ENSDARG00000011023	0	0
ENSDARG00000003046	0	0
ENSDARG00000095697	0	0.0260849
ENSDARG00000016065	0	0
ENSDARG00000062132	0	0.00392011
ENSDARG00000090504	0	0
ENSDARG00000094943	0	0
ENSDARG00000037545	0	0
ENSDARG00000062122	0	0
ENSDARG00000095111	0	0
ENSDARG00000008287	0	0
ENSDARG00000015495	0	0.0764294
ENSDARG00000062081	0	0.00602916
ENSDARG00000018178	0	0
ENSDARG00000093886	0	0
ENSDARG00000056163	0	0.0387196
ENSDARG00000092811	0	0.00110729
ENSDARG00000079488	0	0
ENSDARG00000062055	0.00890767	0.00682941
ENSDARG00000074275	0	0.00551111
ENSDARG00000075330	0	0
ENSDARG00000006392	0	0
ENSDARG00000073902	0	0
ENSDARG00000019945	0	0
ENSDARG00000086957	0	0
ENSDARG00000056151	0.0923845	0.086069
ENSDARG00000061985	0	0
ENSDARG00000061981	0	0
ENSDARG00000003631	0.0201748	0
ENSDARG00000056133	0	0.0123386
ENSDARG00000070321	0.0154659	0
ENSDARG00000017744	6.26028	3.2076
ENSDARG00000070320	0	0
ENSDARG00000061952	0	0
ENSDARG00000061936	0	0
ENSDARG00000006434	0	0
ENSDARG00000037484	0.0162519	1.2444
ENSDARG00000094729	0	0
ENSDARG00000095388	0	0
ENSDARG00000085360	0	0
ENSDARG00000037487	0	0.0112731
ENSDARG00000008068	0	0
ENSDARG00000077648	0.0137856	0.00704649
ENSDARG00000096580	1.67987	2.77267
ENSDARG00000079250	0.000268209	0
ENSDARG00000019986	0.00518423	0
ENSDARG00000080019	0	0
ENSDARG00000061880	0	0
ENSDARG00000070281	0	0
ENSDARG00000070278	0.00770424	0
ENSDARG00000061830	0.00548227	0.0282687
ENSDARG00000041776	0	0
ENSDARG00000095632	0	0
ENSDARG00000037455	0.00742145	0
ENSDARG00000093816	0.261843	0.237105
ENSDARG00000070266	0	0
ENSDARG00000037429	0	0
ENSDARG00000055874	0	0
ENSDARG00000055876	0	0
ENSDARG00000092321	0	0
ENSDARG00000061786	0	0
ENSDARG00000094202	0.00472529	0
ENSDARG00000084201	0	0
ENSDARG00000095709	0.00903371	0.00297915
ENSDARG00000093520	0.00903371	0.00297915
ENSDARG00000092815	0.00903371	0.00297915
ENSDARG00000095472	0.00387159	0.00297915
ENSDARG00000061459	0	0
ENSDARG00000037411	0	0.0094763
ENSDARG00000084908	0	0
ENSDARG00000037410	0	0.0251839
ENSDARG00000037409	0	0
ENSDARG00000070173	0	0
ENSDARG00000088676	0	0
ENSDARG00000052782	0	0
ENSDARG00000037406	0	0
ENSDARG00000034773	0	0
ENSDARG00000033273	0	0
ENSDARG00000055439	0	0
ENSDARG00000055443	0	0.0106199
ENSDARG00000088531	0	0
ENSDARG00000095593	0.00446953	0
ENSDARG00000037383	0.0235417	0
ENSDARG00000085494	0	0
ENSDARG00000030759	0	0
ENSDARG00000079074	0	0
ENSDARG00000061504	0.00241708	0
ENSDARG00000000606	0	0
ENSDARG00000084307	0	0
ENSDARG00000087224	0	0
ENSDARG00000052764	0	0
ENSDARG00000092275	0	0
ENSDARG00000055559	0	0
ENSDARG00000085459	0	0
ENSDARG00000008674	0	0
ENSDARG00000026871	0	0
ENSDARG00000016470	0.0349615	0.00536542
ENSDARG00000091660	0	0
ENSDARG00000038056	0	0
ENSDARG00000002406	0.00900569	0
ENSDARG00000034007	0	0
ENSDARG00000061143	0	0
ENSDARG00000034896	0	0
ENSDARG00000037378	0	0
ENSDARG00000012672	0	9.93745
ENSDARG00000093064	0.067179	0.0387869
ENSDARG00000061121	0	0
ENSDARG00000085528	0	0
ENSDARG00000094677	0	0
ENSDARG00000054799	0	0
ENSDARG00000037350	0.0253047	0
ENSDARG00000022845	0	0
ENSDARG00000019838	0	0.00750282
ENSDARG00000005799	0	0
ENSDARG00000013505	0	0.0144969
ENSDARG00000055022	6.77937	0.00206657
ENSDARG00000061451	0	0.00156633
ENSDARG00000070121	0	0
ENSDARG00000054680	0	0
ENSDARG00000092290	0	0
ENSDARG00000055099	0.163597	0.459686
ENSDARG00000070109	0.0145526	0.00278893
ENSDARG00000070098	0	0.00135113
ENSDARG00000094046	0	0
ENSDARG00000086073	0	0
ENSDARG00000004246	0.00162123	0
ENSDARG00000083023	0	0
ENSDARG00000031108	0.00438582	0
ENSDARG00000015266	0	0
ENSDARG00000092542	0	0
ENSDARG00000035692	0.0170387	0
ENSDARG00000094885	0	0
ENSDARG00000090822	0	0
ENSDARG00000086859	0	0
ENSDARG00000090118	0	0
ENSDARG00000088202	0	0.00150882
ENSDARG00000088147	0	0
ENSDARG00000086340	0	0
ENSDARG00000086407	0	0.00151903
ENSDARG00000061021	0	0
ENSDARG00000037309	19.3961	75.186
ENSDARG00000054334	0.0357389	0.0412836
ENSDARG00000093583	0	0
ENSDARG00000085104	0	0
ENSDARG00000060994	0	2.73081e-10
ENSDARG00000092173	0	0
ENSDARG00000093590	0	0.0338722
ENSDARG00000093590	0	0
ENSDARG00000074776	0	0
ENSDARG00000074451	0	0
ENSDARG00000079434	0	0
ENSDARG00000031817	0.0242881	0
ENSDARG00000074812	0	0
ENSDARG00000070055	0.00815985	0.00626339
ENSDARG00000070050	0	0
ENSDARG00000095408	0	0
ENSDARG00000091332	0	0
ENSDARG00000037286	0	0
ENSDARG00000037283	0	0
ENSDARG00000037281	0	0
ENSDARG00000037278	0	0
ENSDARG00000086564	0	0
ENSDARG00000070039	0	0
ENSDARG00000091184	0	0
ENSDARG00000094763	0	0
ENSDARG00000037276	0	0
ENSDARG00000013787	0	0
ENSDARG00000086790	0	0
ENSDARG00000006427	0	0
ENSDARG00000076499	0	0
ENSDARG00000037266	0	0
ENSDARG00000077157	0	0.014085
ENSDARG00000037256	0	0
ENSDARG00000069998	0	0
ENSDARG00000053995	0	0
ENSDARG00000021702	0	0
ENSDARG00000054031	0	0
ENSDARG00000037259	0	0
ENSDARG00000037260	0.00499794	0
ENSDARG00000037261	0	0
